26,14,20,23,19,27,22,19,17,18,21,22,21,20,26,16,25,28,25,26,33,28,17,28,19,66.5
25,15,23,19,21,16,16,28,31,19,31,20,25,20,14,19,25,18,20,27,22,21,20,12,16,67.5
16,15,19,14,20,25,26,25,16,21,20,20,11,14,15,10,12,19,22,19,18,21,27,22,18,68.5
20,20,20,9,13,13,19,22,20,34,21,20,20,23,13,15,17,10,16,21,22,18,21,13,26,69.5
19,12,13,12,15,7,10,23,20,24,19,22,18,20,18,14,20,12,14,19,14,15,22,19,13,70.5
14,15,13,19,19,17,18,12,16,12,11,22,15,12,15,11,17,9,9,19,12,24,16,22,12,71.5
9,8,10,15,8,9,14,9,10,11,15,19,12,14,17,14,13,12,12,18,16,11,9,14,15,72.5
9,11,6,9,9,10,12,8,9,10,14,9,9,10,14,10,10,9,11,9,11,10,11,15,12,73.5
12,11,10,4,1,9,3,11,15,14,7,9,7,5,8,9,8,7,12,5,9,18,10,4,10,74.5
10,15,6,7,6,9,9,14,8,7,8,11,11,6,7,7,9,11,3,11,7,7,7,3,5,75.5
11,8,10,6,11,3,5,8,8,6,4,8,8,3,10,5,7,10,8,6,9,10,3,10,5,76.5
9,4,4,7,2,4,8,4,2,6,4,5,3,8,9,6,8,5,5,6,8,11,1,6,6,77.5
4,4,4,1,3,4,3,4,6,4,5,1,3,4,6,3,4,6,3,3,3,4,2,8,6,78.5
3,0,3,2,3,2,1,5,4,1,3,4,6,2,2,5,1,4,5,4,5,6,1,2,4,79.5
2,1,0,2,2,2,2,3,1,9,3,1,2,0,1,3,1,2,0,1,2,1,0,1,1,80.5
2,0,2,0,2,0,0,1,2,4,2,1,2,0,0,0,0,1,1,1,2,1,0,2,2,81.5
1,1,1,1,1,0,1,2,1,1,3,1,3,0,0,0,0,1,1,0,2,0,0,2,2,82.5
1,1,1,0,0,0,1,0,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,2,1,83.5
0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,84.5
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5
